Pin Sequence,Interval 1,Interval 2,Interval 3,Interval 4,Pin Type
AAABC,198,187,264,264,5
AAABC,209,187,242,253,5
AAABC,209,198,264,264,5
AAABC,209,220,253,264,5
AAABC,231,220,264,253,5
AAABC,220,220,253,264,5
AAABC,231,220,264,253,5
AAABC,231,242,264,242,5
AAABC,220,253,242,253,5
AAABC,242,264,253,264,5
AAABC,253,264,286,253,5
AAABC,231,242,264,286,5
AAABC,242,209,220,231,5
AAABC,242,220,253,264,5
AAABC,220,242,253,275,5
AAABC,286,231,264,242,5
AAABC,242,418,286,352,5
13113,242,231,187,165,1
13113,297,286,198,154,1
13113,341,242,198,198,1
13113,308,231,187,209,1
13113,286,231,187,209,1
13113,352,220,187,198,1
13113,275,209,187,209,1
13113,363,275,319,220,1
13113,341,220,209,231,1
13113,341,220,198,209,1
13113,396,220,209,209,1
13113,297,220,176,209,1
13113,352,231,176,220,1
13113,341,220,231,220,1
13113,341,231,187,220,1
13113,341,198,231,220,1
13113,341,198,209,242,1
13113,451,231,220,264,1
13113,396,187,220,209,1
13113,352,220,209,209,1
13113,352,209,187,242,1
13113,341,220,198,231,1
13113,385,198,209,231,1
13113,429,231,198,242,1
AA2AA,187,165,220,187,2
AA2AA,165,198,220,187,2
AA2AA,187,176,220,187,2
AA2AA,187,209,220,198,2
AA2AA,209,187,231,209,2
AA2AA,187,220,275,198,2
AA2AA,209,176,242,220,2
AA2AA,198,198,220,209,2
AA2AA,209,209,209,209,2
AA2AA,198,209,242,209,2
AA2AA,187,198,253,198,2
AA2AA,209,198,231,198,2
AA2AA,198,198,242,209,2
AA2AA,220,264,220,187,2
AA2AA,176,209,209,198,2
AA2AA,187,198,187,198,2
AA2AA,220,231,286,220,2
AA2AA,231,264,275,264,2
AA2AA,220,198,209,209,2
AA2AA,209,187,231,198,2
AA2AA,209,187,198,231,2
AA2AA,198,198,220,198,2
AA2AA,220,176,220,187,2
AA2AA,209,187,220,209,2
AA2AA,198,176,198,176,2
AA2AA,198,187,198,187,2
AA2AA,220,198,209,187,2
AA2AA,253,275,264,275,2
98989,209,198,198,198,3
98989,165,187,176,165,3
98989,209,220,198,198,3
98989,231,198,220,198,3
98989,264,209,319,176,3
98989,209,231,198,220,3
98989,176,154,176,143,3
98989,176,209,528,150,3
98989,209,209,165,154,3
98989,187,187,187,165,3
98989,198,198,242,176,3
98989,231,242,198,220,3
98989,176,253,198,209,3
98989,242,242,209,209,3
98989,275,231,242,275,3
98989,165,165,165,132,3
98989,165,176,165,143,3
98989,220,220,187,176,3
98989,209,253,198,242,3
98989,220,242,176,143,3
98989,209,231,187,176,3
98989,187,231,176,220,3
98989,187,242,154,242,3
98989,176,187,143,143,3
111DD,231,198,242,198,4
111DD,231,198,231,220,4
111DD,242,220,253,209,4
111DD,231,198,220,209,4
111DD,220,220,209,209,4
111DD,231,209,231,209,4
111DD,242,209,242,220,4
111DD,220,209,220,220,4
111DD,231,209,209,198,4
111DD,242,220,220,220,4
111DD,242,220,209,231,4
111DD,231,209,220,220,4
111DD,253,220,220,209,4
111DD,231,242,231,231,4
111DD,220,220,231,209,4
111DD,209,209,242,209,4
111DD,264,253,253,198,4
111DD,231,198,253,209,4
111DD,220,231,231,198,4
111DD,242,220,286,121,4
111DD,220,209,220,198,4
111DD,220,209,286,220,4
111DD,242,221,209,231,4
111DD,231,209,220,220,4
111DD,253,222,220,214,4
AAABC,231,220,242,242,5
AAABC,198,198,253,242,5
AAABC,198,220,220,308,5
AAABC,209,220,242,253,5
AAABC,220,220,242,231,5
AAABC,220,242,231,253,5
AAABC,220,231,242,253,5
AAABC,242,209,231,231,5
AAABC,242,220,231,264,5
AAABC,231,231,231,275,5
AAABC,242,242,275,264,5
AAABC,253,220,253,253,5
AAABC,253,253,253,275,5
AAABC,209,231,220,275,5
AAABC,231,220,242,275,5
AAABC,198,220,275,253,5
AAABC,220,220,253,264,5
AAABC,242,209,242,253,5
AAABC,209,220,231,253,5
AAABC,220,220,253,253,5
AAABC,286,242,253,275,5
AAABC,220,220,264,308,5
AAABC,231,242,264,297,5
AAABC,198,220,264,308,5
AAABC,237,231,239,278,5
AAABC,232,245,275,264,5
